380,0.2003553567
385,0.3026585382
390,0.4125532966
395,0.5589481864
400,0.6999985274
405,0.8502194503
410,0.9967964454
415,1.1030169403
420,1.1483838412
425,1.1664516194
430,1.2179828619
435,1.3062873482
440,1.4153622228
445,1.4761248097
450,1.5818290512
455,1.6374597124
460,1.7417974809
465,1.9191353301
470,1.9968724258
475,1.8180163341
480,1.7032933714
485,1.7146197921
490,1.6657609152
495,1.6792130212
500,1.5991377081
505,1.5689234432
510,1.5505519436
515,1.5371605090
520,1.5314213227
525,1.5209146947
530,1.5209147858
535,1.5106813612
540,1.5102865416
545,1.5016929756
550,1.4861759468
555,1.4739991244
560,1.4651626907
565,1.4620045895
570,1.4789487626
575,1.4839592544
580,1.4791309590
585,1.4717217607
590,1.4357682184
595,1.3853605811
600,1.3387790679
605,1.3225635893
610,1.3229279821
615,1.3416637834
620,1.3486783444
625,1.3267844420
630,1.2759819851
635,1.2031641919
640,1.1247589820
645,1.0824591751
650,1.0677315122
655,1.0412827001
660,1.0496333983
665,1.0495423001
670,0.9857431370
675,0.8214324208
680,0.6165525811
685,0.4288598734
690,0.2650957463
695,0.1552313236
700,0.0898228199
705,0.0624933615
710,0.0457130741
715,0.0384707676
720,0.0271472620
725,0.0257625694
730,0.0235033342
735,0.0213853012
740,0.0209525848
745,0.0224101559
750,0.0217906881
755,0.0180283327
760,0.0159057448
765,0.0268101987
770,0.0273294584
775,0.0308640683
780,0.0256896909
